course,period,url,note
Big Data Analytics Programming,2015-2018,https://onderwijsaanbod.kuleuven.be/syllabi/e/H00Y4AE.htm,"Design, support and evaluation of programming projects."
Introduction To Programming,2014-2015,https://onderwijsaanbod.kuleuven.be/syllabi/n/H01B6BN.htm,Teaching exercises sessions and project evaluation.
ICT Tools,2015-2017,https://onderwijsaanbod.kuleuven.be/syllabi/n/H01B9AN.htm,Teaching exercises sessions
